data,ano,trimestre,servico,faixa_etaria,regiao,classe_social,tamanho_amostra,usuarios_ativos,penetracao_percentual,frequencia_uso_semanal,satisfacao_media,intencao_continuar_pct,nao_usuarios,potencial_crescimento_pct,nps_estimado
2023-01-01,2023,Q1,Internet Banda Larga,18-24,Nordeste,B,851,651,76.5,4.43,7.96,76.57,200,23.5,59.2
2023-01-01,2023,Q1,Internet Banda Larga,18-24,Nordeste,C,804,461,57.38,2.69,8.42,59.36,343,42.62,68.4
2023-01-01,2023,Q1,Internet Banda Larga,18-24,Nordeste,D/E,1141,363,31.87,0.5,7.58,30.54,778,68.12,51.6
2023-01-01,2023,Q1,Internet Banda Larga,18-24,Norte,A,1017,907,89.25,4.42,7.47,99.0,110,10.75,49.4
2023-01-01,2023,Q1,Internet Banda Larga,18-24,Norte,B,1107,846,76.5,3.08,7.77,68.17,261,23.5,55.4
2023-01-01,2023,Q1,Internet Banda Larga,18-24,Norte,C,1091,625,57.38,4.74,6.49,82.41,466,42.62,14.9
2023-01-01,2023,Q1,Internet Banda Larga,18-24,Norte,D/E,1152,367,31.87,1.72,7.3,17.84,785,68.12,46.0
2023-01-01,2023,Q1,Internet Banda Larga,25-34,Sul,A,1013,1013,100.0,5.06,6.37,95.6,0,0.0,13.7
2023-01-01,2023,Q1,Internet Banda Larga,25-34,Sul,B,921,911,99.0,6.13,5.56,81.45,10,1.0,5.6
2023-01-01,2023,Q1,Internet Banda Larga,25-34,Sul,C,969,719,74.25,3.16,9.02,62.36,250,25.75,80.4
2023-01-01,2023,Q1,Internet Banda Larga,25-34,Sul,D/E,1128,465,41.25,1.05,6.29,58.35,663,58.75,12.9
2023-01-01,2023,Q1,Internet Banda Larga,25-34,Sudeste,A,894,894,100.0,7.24,8.93,85.3,0,0.0,78.6
2023-01-01,2023,Q1,Internet Banda Larga,25-34,Sudeste,B,834,825,99.0,7.04,7.14,100.0,9,1.0,42.8
2023-01-01,2023,Q1,Internet Banda Larga,25-34,Sudeste,C,903,670,74.25,4.06,7.17,82.59,233,25.75,43.4
2023-01-01,2023,Q1,Internet Banda Larga,25-34,Sudeste,D/E,1170,482,41.25,0.5,8.85,46.73,688,58.75,77.0
2023-01-01,2023,Q1,Internet Banda Larga,25-34,Centro-Oeste,A,1177,1177,100.0,5.76,4.8,100.0,0,0.0,-1.0
2023-01-01,2023,Q1,Internet Banda Larga,25-34,Centro-Oeste,B,903,812,90.0,3.7,7.4,95.04,91,10.0,48.0
2023-01-01,2023,Q1,Internet Banda Larga,25-34,Centro-Oeste,C,868,585,67.5,5.4,8.75,74.06,283,32.5,75.0
2023-01-01,2023,Q1,Internet Banda Larga,25-34,Centro-Oeste,D/E,833,312,37.5,2.93,7.79,32.36,521,62.5,55.8
2023-01-01,2023,Q1,Internet Banda Larga,25-34,Nordeste,A,1115,995,89.25,5.05,6.71,86.75,120,10.75,17.1
2023-01-01,2023,Q1,Internet Banda Larga,25-34,Nordeste,B,1167,892,76.5,3.67,10.0,76.87,275,23.5,100.0
2023-01-01,2023,Q1,Internet Banda Larga,25-34,Nordeste,C,978,561,57.38,2.2,9.31,54.59,417,42.62,86.2
2023-01-01,2023,Q1,Internet Banda Larga,25-34,Nordeste,D/E,1113,354,31.87,2.08,6.43,21.81,759,68.12,14.3
2023-01-01,2023,Q1,Internet Banda Larga,25-34,Norte,A,900,803,89.25,5.16,7.49,84.59,97,10.75,49.8
2023-01-01,2023,Q1,Internet Banda Larga,25-34,Norte,B,1167,892,76.5,4.94,7.02,62.5,275,23.5,40.4
2023-01-01,2023,Q1,Internet Banda Larga,25-34,Norte,C,1140,654,57.38,3.05,6.12,51.68,486,42.62,11.2
2023-01-01,2023,Q1,Internet Banda Larga,25-34,Norte,D/E,1123,357,31.87,2.25,7.36,33.51,766,68.12,47.2
2023-01-01,2023,Q1,Internet Banda Larga,35-44,Sul,A,1078,1078,100.0,5.89,9.19,100.0,0,0.0,83.8
2023-01-01,2023,Q1,Internet Banda Larga,35-44,Sul,B,1064,1053,99.0,6.02,7.74,87.69,11,1.0,54.8
2023-01-01,2023,Q1,Internet Banda Larga,35-44,Sul,C,928,689,74.25,2.36,8.23,77.0,239,25.75,64.6
2023-01-01,2023,Q1,Internet Banda Larga,35-44,Sul,D/E,927,382,41.25,2.6,8.36,49.59,545,58.75,67.2
2023-01-01,2023,Q1,Internet Banda Larga,35-44,Sudeste,A,867,867,100.0,7.8,6.67,100.0,0,0.0,16.7
2023-01-01,2023,Q1,Internet Banda Larga,35-44,Sudeste,B,962,952,99.0,4.39,7.03,100.0,10,1.0,40.6
2023-01-01,2023,Q1,Internet Banda Larga,35-44,Sudeste,C,1035,768,74.25,3.79,8.17,69.48,267,25.75,63.4
2023-01-01,2023,Q1,Internet Banda Larga,35-44,Sudeste,D/E,1157,477,41.25,1.93,5.0,33.54,680,58.75,0.0
2023-01-01,2023,Q1,Internet Banda Larga,35-44,Centro-Oeste,A,811,811,100.0,6.9,5.9,98.53,0,0.0,9.0
2023-01-01,2023,Q1,Internet Banda Larga,35-44,Centro-Oeste,B,1002,901,90.0,5.34,6.34,74.18,101,10.0,13.4
2023-01-01,2023,Q1,Internet Banda Larga,35-44,Centro-Oeste,C,851,574,67.5,4.15,6.78,62.47,277,32.5,17.8
2023-01-01,2023,Q1,Internet Banda Larga,35-44,Centro-Oeste,D/E,894,335,37.5,0.75,6.9,25.37,559,62.5,19.0
2023-01-01,2023,Q1,Internet Banda Larga,35-44,Nordeste,A,932,831,89.25,4.35,4.74,88.06,101,10.75,-1.3
2023-01-01,2023,Q1,Internet Banda Larga,35-44,Nordeste,B,1124,859,76.5,3.04,8.62,76.97,265,23.5,72.4
2023-01-01,2023,Q1,Internet Banda Larga,35-44,Nordeste,C,1121,643,57.38,1.48,7.5,70.49,478,42.62,50.0
2023-01-01,2023,Q1,Internet Banda Larga,35-44,Nordeste,D/E,805,256,31.87,0.5,5.75,21.03,549,68.12,7.5
2023-01-01,2023,Q1,Internet Banda Larga,35-44,Norte,A,980,874,89.25,3.51,6.86,94.12,106,10.75,18.6
2023-01-01,2023,Q1,Internet Banda Larga,35-44,Norte,B,854,653,76.5,3.82,7.16,82.3,201,23.5,43.2
2023-01-01,2023,Q1,Internet Banda Larga,35-44,Norte,C,821,471,57.38,1.58,3.66,50.18,350,42.62,-6.7
2023-01-01,2023,Q1,Internet Banda Larga,35-44,Norte,D/E,983,313,31.87,1.07,5.34,34.76,670,68.12,3.4
2023-01-01,2023,Q1,Internet Banda Larga,45-54,Sul,A,942,942,100.0,7.47,8.44,100.0,0,0.0,68.8
2023-01-01,2023,Q1,Internet Banda Larga,45-54,Sul,B,1156,1144,99.0,6.74,7.57,100.0,12,1.0,51.4
2023-01-01,2023,Q1,Internet Banda Larga,45-54,Sul,C,835,619,74.25,3.1,8.91,62.39,216,25.75,78.2
2023-01-01,2023,Q1,Internet Banda Larga,45-54,Sul,D/E,1009,416,41.25,3.03,8.8,42.54,593,58.75,76.0
2023-01-01,2023,Q1,Internet Banda Larga,45-54,Sudeste,A,856,856,100.0,7.18,5.51,93.81,0,0.0,5.1
2023-01-01,2023,Q1,Internet Banda Larga,45-54,Sudeste,B,823,814,99.0,6.07,8.06,99.55,9,1.0,61.2
2023-01-01,2023,Q1,Internet Banda Larga,45-54,Sudeste,C,902,669,74.25,3.5,6.69,85.03,233,25.75,16.9
2023-01-01,2023,Q1,Internet Banda Larga,45-54,Sudeste,D/E,919,379,41.25,2.2,5.16,39.33,540,58.75,1.6
2023-01-01,2023,Q1,Internet Banda Larga,45-54,Centro-Oeste,A,818,818,100.0,6.72,6.56,91.85,0,0.0,15.6
2023-01-01,2023,Q1,Internet Banda Larga,45-54,Centro-Oeste,B,1122,1009,90.0,5.61,7.61,84.95,113,10.0,52.2
2023-01-01,2023,Q1,Internet Banda Larga,45-54,Centro-Oeste,C,1159,782,67.5,4.12,5.68,54.69,377,32.5,6.8
2023-01-01,2023,Q1,Internet Banda Larga,45-54,Centro-Oeste,D/E,1138,426,37.5,1.93,7.86,44.8,712,62.5,57.2
2023-01-01,2023,Q1,Internet Banda Larga,45-54,Nordeste,A,806,719,89.25,3.06,7.8,100.0,87,10.75,56.0
2023-01-01,2023,Q1,Internet Banda Larga,45-54,Nordeste,B,867,663,76.5,3.63,7.39,88.05,204,23.5,47.8
2023-01-01,2023,Q1,Internet Banda Larga,45-54,Nordeste,C,986,565,57.38,3.86,6.96,70.62,421,42.62,19.6
2023-01-01,2023,Q1,Internet Banda Larga,45-54,Nordeste,D/E,1148,365,31.87,0.84,5.99,36.47,783,68.12,9.9
2023-01-01,2023,Q1,Internet Banda Larga,45-54,Norte,A,986,880,89.25,3.15,5.62,87.77,106,10.75,6.2
2023-01-01,2023,Q1,Internet Banda Larga,45-54,Norte,B,1122,858,76.5,3.19,5.52,81.83,264,23.5,5.2
2023-01-01,2023,Q1,Internet Banda Larga,45-54,Norte,C,1049,601,57.38,2.72,8.0,65.29,448,42.62,60.0
2023-01-01,2023,Q1,Internet Banda Larga,45-54,Norte,D/E,973,310,31.87,3.21,8.19,32.71,663,68.12,63.8
2023-01-01,2023,Q1,Internet Banda Larga,55-64,Sul,A,1120,1120,100.0,5.82,6.62,98.41,0,0.0,16.2
2023-01-01,2023,Q1,Internet Banda Larga,55-64,Sul,B,1073,1062,99.0,6.29,3.29,81.35,11,1.0,-8.6
2023-01-01,2023,Q1,Internet Banda Larga,55-64,Sul,C,837,621,74.25,4.49,4.66,71.02,216,25.75,-1.7
2023-01-01,2023,Q1,Internet Banda Larga,55-64,Sul,D/E,812,334,41.25,0.64,7.77,35.52,478,58.75,55.4
2023-01-01,2023,Q1,Internet Banda Larga,55-64,Sudeste,A,842,842,100.0,5.51,4.65,100.0,0,0.0,-1.7
2023-01-01,2023,Q1,Internet Banda Larga,55-64,Sudeste,B,1071,1060,99.0,5.84,5.95,100.0,11,1.0,9.5
2023-01-01,2023,Q1,Internet Banda Larga,55-64,Sudeste,C,1178,874,74.25,5.12,7.76,77.01,304,25.75,55.2
2023-01-01,2023,Q1,Internet Banda Larga,55-64,Sudeste,D/E,957,394,41.25,3.39,4.99,56.53,563,58.75,-0.0
2023-01-01,2023,Q1,Internet Banda Larga,55-64,Centro-Oeste,A,882,882,100.0,4.06,4.65,84.88,0,0.0,-1.7
2023-01-01,2023,Q1,Internet Banda Larga,55-64,Centro-Oeste,B,1047,942,90.0,4.36,10.0,96.25,105,10.0,100.0
2023-01-01,2023,Q1,Internet Banda Larga,55-64,Centro-Oeste,C,1181,797,67.5,4.79,7.14,47.4,384,32.5,42.8
2023-01-01,2023,Q1,Internet Banda Larga,55-64,Centro-Oeste,D/E,1149,430,37.5,2.31,6.44,26.65,719,62.5,14.4
2023-01-01,2023,Q1,Internet Banda Larga,55-64,Nordeste,A,1190,1062,89.25,4.61,7.63,94.49,128,10.75,52.6
2023-01-01,2023,Q1,Internet Banda Larga,55-64,Nordeste,B,1053,805,76.5,6.25,4.91,77.01,248,23.5,-0.4
2023-01-01,2023,Q1,Internet Banda Larga,55-64,Nordeste,C,1194,685,57.38,1.87,6.75,60.64,509,42.62,17.5
2023-01-01,2023,Q1,Internet Banda Larga,55-64,Nordeste,D/E,1077,343,31.87,1.89,5.51,26.39,734,68.12,5.1
2023-01-01,2023,Q1,Internet Banda Larga,55-64,Norte,A,1101,982,89.25,4.29,6.15,84.5,119,10.75,11.5
2023-01-01,2023,Q1,Internet Banda Larga,55-64,Norte,B,1096,838,76.5,3.25,7.14,63.92,258,23.5,42.8
2023-01-01,2023,Q1,Internet Banda Larga,55-64,Norte,C,1039,596,57.38,3.46,9.78,67.57,443,42.62,95.6
2023-01-01,2023,Q1,Internet Banda Larga,55-64,Norte,D/E,1025,326,31.87,2.23,6.64,34.39,699,68.12,16.4
2023-01-01,2023,Q1,Internet Banda Larga,65+,Sul,A,982,982,100.0,6.03,6.37,100.0,0,0.0,13.7
2023-01-01,2023,Q1,Internet Banda Larga,65+,Sul,B,884,875,99.0,4.8,7.46,100.0,9,1.0,49.2
2023-01-01,2023,Q1,Internet Banda Larga,65+,Sul,C,834,619,74.25,5.42,8.97,69.34,215,25.75,79.4
2023-01-01,2023,Q1,Internet Banda Larga,65+,Sul,D/E,862,355,41.25,3.59,6.04,34.17,507,58.75,10.4
2023-01-01,2023,Q1,Internet Banda Larga,65+,Sudeste,A,879,879,100.0,6.73,5.14,94.09,0,0.0,1.4
2023-01-01,2023,Q1,Internet Banda Larga,65+,Sudeste,B,1001,990,99.0,4.73,3.79,100.0,11,1.0,-6.0
2023-01-01,2023,Q1,Internet Banda Larga,65+,Sudeste,C,1099,816,74.25,4.05,6.12,63.97,283,25.75,11.2
2023-01-01,2023,Q1,Internet Banda Larga,65+,Sudeste,D/E,1032,425,41.25,1.67,8.59,53.29,607,58.75,71.8
2023-01-01,2023,Q1,Internet Banda Larga,65+,Centro-Oeste,A,830,830,100.0,4.88,8.23,95.88,0,0.0,64.6
2023-01-01,2023,Q1,Internet Banda Larga,65+,Centro-Oeste,B,981,882,90.0,3.84,7.58,80.67,99,10.0,51.6
2023-01-01,2023,Q1,Internet Banda Larga,65+,Centro-Oeste,C,837,564,67.5,1.95,7.72,70.65,273,32.5,54.4
2023-01-01,2023,Q1,Internet Banda Larga,65+,Centro-Oeste,D/E,1065,399,37.5,0.95,6.68,29.27,666,62.5,16.8
2023-01-01,2023,Q1,Internet Banda Larga,65+,Nordeste,A,1091,973,89.25,4.31,7.55,92.55,118,10.75,51.0
2023-01-01,2023,Q1,Internet Banda Larga,65+,Nordeste,B,890,680,76.5,4.37,5.0,85.91,210,23.5,0.0
2023-01-01,2023,Q1,Internet Banda Larga,65+,Nordeste,C,949,544,57.38,2.07,1.0,47.92,405,42.62,-20.0
2023-01-01,2023,Q1,Internet Banda Larga,65+,Nordeste,D/E,1071,341,31.87,1.33,7.08,59.95,730,68.12,41.6
2023-01-01,2023,Q1,Internet Banda Larga,65+,Norte,A,1076,960,89.25,4.79,8.63,88.11,116,10.75,72.6
2023-01-01,2023,Q1,Internet Banda Larga,65+,Norte,B,1160,887,76.5,4.1,6.25,76.68,273,23.5,12.5
2023-01-01,2023,Q1,Internet Banda Larga,65+,Norte,C,1049,601,57.38,3.45,8.65,58.89,448,42.62,73.0
2023-01-01,2023,Q1,Internet Banda Larga,65+,Norte,D/E,833,265,31.87,3.36,8.19,34.4,568,68.12,63.8
2023-01-01,2023,Q1,Streaming de Vídeo,18-24,Sul,A,950,950,100.0,14.99,6.48,100.0,0,0.0,14.8
2023-01-01,2023,Q1,Streaming de Vídeo,18-24,Sul,B,880,880,100.0,12.05,7.97,100.0,0,0.0,59.4
2023-01-01,2023,Q1,Streaming de Vídeo,18-24,Sul,C,831,695,83.66,8.97,6.99,76.8,136,16.34,19.9
2023-01-01,2023,Q1,Streaming de Vídeo,18-24,Sul,D/E,1123,521,46.48,5.17,5.93,48.65,602,53.52,9.3
2023-01-01,2023,Q1,Streaming de Vídeo,18-24,Sudeste,A,1073,1073,100.0,12.82,5.86,100.0,0,0.0,8.6
2023-01-01,2023,Q1,Streaming de Vídeo,18-24,Sudeste,B,1194,1194,100.0,11.22,6.12,100.0,0,0.0,11.2
2023-01-01,2023,Q1,Streaming de Vídeo,18-24,Sudeste,C,1025,857,83.66,7.35,7.31,76.53,168,16.34,46.2
2023-01-01,2023,Q1,Streaming de Vídeo,18-24,Sudeste,D/E,1146,532,46.48,3.46,8.88,57.71,614,53.52,77.6
2023-01-01,2023,Q1,Streaming de Vídeo,18-24,Centro-Oeste,A,1121,1121,100.0,11.44,8.02,90.71,0,0.0,60.4
2023-01-01,2023,Q1,Streaming de Vídeo,18-24,Centro-Oeste,B,899,899,100.0,9.48,7.37,88.78,0,0.0,47.4
2023-01-01,2023,Q1,Streaming de Vídeo,18-24,Centro-Oeste,C,818,622,76.05,7.68,7.51,93.03,196,23.95,50.2
2023-01-01,2023,Q1,Streaming de Vídeo,18-24,Centro-Oeste,D/E,847,357,42.25,4.09,7.84,53.55,490,57.75,56.8
2023-01-01,2023,Q1,Streaming de Vídeo,18-24,Nordeste,A,1154,1154,100.0,9.97,8.17,93.95,0,0.0,63.4
2023-01-01,2023,Q1,Streaming de Vídeo,18-24,Nordeste,B,1151,992,86.19,7.08,4.22,80.34,159,13.81,-3.9
2023-01-01,2023,Q1,Streaming de Vídeo,18-24,Nordeste,C,1041,672,64.64,7.08,5.04,63.56,369,35.36,0.4
2023-01-01,2023,Q1,Streaming de Vídeo,18-24,Nordeste,D/E,897,322,35.91,5.0,3.45,36.98,575,64.09,-7.7
2023-01-01,2023,Q1,Streaming de Vídeo,18-24,Norte,A,883,883,100.0,11.01,7.55,100.0,0,0.0,51.0
2023-01-01,2023,Q1,Streaming de Vídeo,18-24,Norte,B,1068,920,86.19,9.47,7.88,80.19,148,13.81,57.6
2023-01-01,2023,Q1,Streaming de Vídeo,18-24,Norte,C,1105,714,64.64,7.38,7.06,65.94,391,35.36,41.2
2023-01-01,2023,Q1,Streaming de Vídeo,18-24,Norte,D/E,1039,373,35.91,2.09,7.32,38.55,666,64.09,46.4
2023-01-01,2023,Q1,Streaming de Vídeo,25-34,Sul,A,997,997,100.0,11.79,7.67,100.0,0,0.0,53.4
2023-01-01,2023,Q1,Streaming de Vídeo,25-34,Sul,B,1078,1078,100.0,10.86,7.7,92.79,0,0.0,54.0
2023-01-01,2023,Q1,Streaming de Vídeo,25-34,Sul,C,910,761,83.66,8.48,5.03,77.79,149,16.34,0.3
2023-01-01,2023,Q1,Streaming de Vídeo,25-34,Sul,D/E,876,407,46.48,5.27,8.18,38.62,469,53.52,63.6
2023-01-01,2023,Q1,Streaming de Vídeo,25-34,Sudeste,A,818,818,100.0,14.32,8.3,78.37,0,0.0,66.0
2023-01-01,2023,Q1,Streaming de Vídeo,25-34,Sudeste,B,925,925,100.0,12.08,6.7,91.06,0,0.0,17.0
2023-01-01,2023,Q1,Streaming de Vídeo,25-34,Sudeste,C,909,760,83.66,7.42,4.65,76.05,149,16.34,-1.7
2023-01-01,2023,Q1,Streaming de Vídeo,25-34,Sudeste,D/E,906,421,46.48,4.53,4.91,37.34,485,53.52,-0.4
2023-01-01,2023,Q1,Streaming de Vídeo,25-34,Centro-Oeste,A,869,869,100.0,13.12,4.65,94.7,0,0.0,-1.7
2023-01-01,2023,Q1,Streaming de Vídeo,25-34,Centro-Oeste,B,873,873,100.0,10.24,7.3,91.73,0,0.0,46.0
2023-01-01,2023,Q1,Streaming de Vídeo,25-34,Centro-Oeste,C,1065,809,76.05,7.19,6.69,76.74,256,23.95,16.9
2023-01-01,2023,Q1,Streaming de Vídeo,25-34,Centro-Oeste,D/E,1008,425,42.25,2.26,8.31,47.59,583,57.75,66.2
2023-01-01,2023,Q1,Streaming de Vídeo,25-34,Nordeste,A,899,899,100.0,13.12,5.61,95.26,0,0.0,6.1
2023-01-01,2023,Q1,Streaming de Vídeo,25-34,Nordeste,B,1058,911,86.19,9.62,6.52,87.86,147,13.81,15.2
2023-01-01,2023,Q1,Streaming de Vídeo,25-34,Nordeste,C,986,637,64.64,7.74,7.1,65.8,349,35.36,42.0
2023-01-01,2023,Q1,Streaming de Vídeo,25-34,Nordeste,D/E,904,324,35.91,5.22,7.05,28.66,580,64.09,41.0
2023-01-01,2023,Q1,Streaming de Vídeo,25-34,Norte,A,1104,1104,100.0,10.19,4.83,96.91,0,0.0,-0.8
2023-01-01,2023,Q1,Streaming de Vídeo,25-34,Norte,B,1191,1026,86.19,8.38,5.83,84.87,165,13.81,8.3
2023-01-01,2023,Q1,Streaming de Vídeo,25-34,Norte,C,827,534,64.64,8.66,8.8,65.32,293,35.36,76.0
2023-01-01,2023,Q1,Streaming de Vídeo,25-34,Norte,D/E,931,334,35.91,3.16,7.68,22.43,597,64.09,53.6
2023-01-01,2023,Q1,Streaming de Vídeo,35-44,Sul,A,1083,1083,100.0,9.8,7.12,100.0,0,0.0,42.4
2023-01-01,2023,Q1,Streaming de Vídeo,35-44,Sul,B,827,709,85.8,8.89,5.94,83.72,118,14.2,9.4
2023-01-01,2023,Q1,Streaming de Vídeo,35-44,Sul,C,1196,769,64.35,7.0,8.6,53.53,427,35.65,72.0
2023-01-01,2023,Q1,Streaming de Vídeo,35-44,Sul,D/E,1026,366,35.75,2.07,6.41,17.78,660,64.25,14.1
2023-01-01,2023,Q1,Streaming de Vídeo,35-44,Sudeste,A,1103,1103,100.0,10.04,7.1,95.62,0,0.0,42.0
2023-01-01,2023,Q1,Streaming de Vídeo,35-44,Sudeste,B,1157,992,85.8,6.83,8.36,83.29,165,14.2,67.2
2023-01-01,2023,Q1,Streaming de Vídeo,35-44,Sudeste,C,855,550,64.35,5.85,8.36,70.81,305,35.65,67.2
2023-01-01,2023,Q1,Streaming de Vídeo,35-44,Sudeste,D/E,950,339,35.75,2.47,7.71,19.33,611,64.25,54.2
2023-01-01,2023,Q1,Streaming de Vídeo,35-44,Centro-Oeste,A,1006,915,91.0,9.17,8.76,83.34,91,9.0,75.2
2023-01-01,2023,Q1,Streaming de Vídeo,35-44,Centro-Oeste,B,857,668,78.0,8.03,9.39,67.52,189,22.0,87.8
2023-01-01,2023,Q1,Streaming de Vídeo,35-44,Centro-Oeste,C,990,579,58.5,7.22,7.03,64.15,411,41.5,40.6
2023-01-01,2023,Q1,Streaming de Vídeo,35-44,Centro-Oeste,D/E,1186,385,32.5,4.76,5.58,22.61,801,67.5,5.8
2023-01-01,2023,Q1,Streaming de Vídeo,35-44,Nordeste,A,886,685,77.35,6.13,7.59,82.94,201,22.65,51.8
2023-01-01,2023,Q1,Streaming de Vídeo,35-44,Nordeste,B,875,580,66.3,5.27,7.54,76.54,295,33.7,50.8
2023-01-01,2023,Q1,Streaming de Vídeo,35-44,Nordeste,C,816,405,49.73,5.98,8.9,47.8,411,50.28,78.0
2023-01-01,2023,Q1,Streaming de Vídeo,35-44,Nordeste,D/E,837,231,27.62,2.16,6.57,30.64,606,72.38,15.7
2023-01-01,2023,Q1,Streaming de Vídeo,35-44,Norte,A,999,772,77.35,6.11,7.97,87.86,227,22.65,59.4
2023-01-01,2023,Q1,Streaming de Vídeo,35-44,Norte,B,1148,761,66.3,6.55,7.2,69.92,387,33.7,44.0
2023-01-01,2023,Q1,Streaming de Vídeo,35-44,Norte,C,1146,569,49.73,4.99,6.15,52.56,577,50.28,11.5
2023-01-01,2023,Q1,Streaming de Vídeo,35-44,Norte,D/E,938,259,27.62,3.17,7.77,37.84,679,72.38,55.4
2023-01-01,2023,Q1,Streaming de Vídeo,45-54,Sul,A,969,969,100.0,9.93,8.48,100.0,0,0.0,69.6
2023-01-01,2023,Q1,Streaming de Vídeo,45-54,Sul,B,935,802,85.8,9.54,6.22,78.33,133,14.2,12.2
2023-01-01,2023,Q1,Streaming de Vídeo,45-54,Sul,C,915,588,64.35,5.96,5.5,59.21,327,35.65,5.0
2023-01-01,2023,Q1,Streaming de Vídeo,45-54,Sul,D/E,1141,407,35.75,2.78,4.59,32.79,734,64.25,-2.1
2023-01-01,2023,Q1,Streaming de Vídeo,45-54,Sudeste,A,929,929,100.0,10.05,8.6,96.52,0,0.0,72.0
2023-01-01,2023,Q1,Streaming de Vídeo,45-54,Sudeste,B,1170,1003,85.8,6.33,8.74,90.07,167,14.2,74.8
2023-01-01,2023,Q1,Streaming de Vídeo,45-54,Sudeste,C,1133,729,64.35,6.21,6.06,66.52,404,35.65,10.6
2023-01-01,2023,Q1,Streaming de Vídeo,45-54,Sudeste,D/E,1070,382,35.75,3.64,5.13,34.69,688,64.25,1.3
2023-01-01,2023,Q1,Streaming de Vídeo,45-54,Centro-Oeste,A,838,762,91.0,8.4,7.3,100.0,76,9.0,46.0
2023-01-01,2023,Q1,Streaming de Vídeo,45-54,Centro-Oeste,B,942,734,78.0,7.77,8.24,90.26,208,22.0,64.8
2023-01-01,2023,Q1,Streaming de Vídeo,45-54,Centro-Oeste,C,854,499,58.5,6.97,5.41,64.24,355,41.5,4.1
2023-01-01,2023,Q1,Streaming de Vídeo,45-54,Centro-Oeste,D/E,1150,373,32.5,1.95,4.21,30.09,777,67.5,-4.0
2023-01-01,2023,Q1,Streaming de Vídeo,45-54,Nordeste,A,869,672,77.35,8.11,7.25,81.89,197,22.65,45.0
2023-01-01,2023,Q1,Streaming de Vídeo,45-54,Nordeste,B,876,580,66.3,5.61,3.74,65.55,296,33.7,-6.3
2023-01-01,2023,Q1,Streaming de Vídeo,45-54,Nordeste,C,938,466,49.73,6.11,7.91,53.88,472,50.28,58.2
2023-01-01,2023,Q1,Streaming de Vídeo,45-54,Nordeste,D/E,920,254,27.62,2.63,8.76,32.34,666,72.38,75.2
2023-01-01,2023,Q1,Streaming de Vídeo,45-54,Norte,A,1073,829,77.35,6.68,5.53,76.83,244,22.65,5.3
2023-01-01,2023,Q1,Streaming de Vídeo,45-54,Norte,B,913,605,66.3,5.86,7.64,76.02,308,33.7,52.8
2023-01-01,2023,Q1,Streaming de Vídeo,45-54,Norte,C,937,465,49.73,6.24,8.51,52.4,472,50.28,70.2
2023-01-01,2023,Q1,Streaming de Vídeo,45-54,Norte,D/E,849,234,27.62,2.45,4.38,38.06,615,72.38,-3.1
2023-01-01,2023,Q1,Streaming de Vídeo,55-64,Sul,A,854,512,60.06,3.97,5.42,61.7,342,39.94,4.2
2023-01-01,2023,Q1,Streaming de Vídeo,55-64,Sul,B,984,506,51.48,5.48,5.69,49.86,478,48.52,6.9
2023-01-01,2023,Q1,Streaming de Vídeo,55-64,Sul,C,1190,459,38.61,3.51,6.03,41.35,731,61.39,10.3
2023-01-01,2023,Q1,Streaming de Vídeo,55-64,Sul,D/E,1072,229,21.45,1.61,5.93,27.39,843,78.55,9.3
