data,ano,mes,mes_nome,trimestre,canal,tipo_problema,prioridade,quantidade_tickets,tempo_medio_resolucao_horas,satisfacao_media,taxa_resolucao_primeiro_contato,tickets_reabertos,custo_medio_por_ticket,eficiencia_canal
2023-01-01,2023,1,January,Q1,E-mail,Financeiro,Alta,14,15.54,3.6,0.47,2,388.52,33.84
2023-01-01,2023,1,January,Q1,E-mail,Financeiro,Crítica,3,5.3,3.83,0.39,0,132.42,29.87
2023-01-01,2023,1,January,Q1,E-mail,Informações,Baixa,43,25.73,3.62,0.33,8,643.16,23.89
2023-01-01,2023,1,January,Q1,E-mail,Informações,Média,30,22.9,3.95,0.35,5,572.49,27.65
2023-01-01,2023,1,January,Q1,E-mail,Informações,Alta,16,19.12,3.45,0.37,3,477.93,25.53
2023-01-01,2023,1,January,Q1,E-mail,Informações,Crítica,5,7.21,3.78,0.48,0,180.37,36.29
2023-01-01,2023,1,January,Q1,E-mail,Reclamação,Baixa,22,25.5,4.09,0.34,4,637.52,27.81
2023-01-01,2023,1,January,Q1,E-mail,Reclamação,Média,16,23.3,3.17,0.42,2,582.39,26.63
2023-01-01,2023,1,January,Q1,E-mail,Reclamação,Alta,11,15.99,3.78,0.41,1,399.85,31.0
2023-01-01,2023,1,January,Q1,E-mail,Reclamação,Crítica,2,15.22,3.42,0.48,0,380.39,32.83
2023-01-01,2023,1,January,Q1,E-mail,Sugestão,Baixa,7,43.31,3.55,0.49,1,1082.84,34.79
2023-01-01,2023,1,January,Q1,E-mail,Sugestão,Média,6,11.46,3.69,0.49,0,286.49,36.16
2023-01-01,2023,1,January,Q1,E-mail,Sugestão,Alta,3,8.5,3.98,0.36,0,212.5,28.66
2023-01-01,2023,1,January,Q1,E-mail,Sugestão,Crítica,1,9.14,3.84,0.33,0,228.56,25.34
2023-01-01,2023,1,January,Q1,Chat Online,Técnico,Baixa,35,1.67,4.16,0.62,4,41.79,51.58
2023-01-01,2023,1,January,Q1,Chat Online,Técnico,Média,28,1.86,3.64,0.78,1,46.48,56.78
2023-01-01,2023,1,January,Q1,Chat Online,Técnico,Alta,14,1.06,4.37,0.6,1,26.61,52.44
2023-01-01,2023,1,January,Q1,Chat Online,Técnico,Crítica,4,1.17,3.56,0.75,0,29.19,53.4
2023-01-01,2023,1,January,Q1,Chat Online,Financeiro,Baixa,24,2.47,3.66,0.71,2,61.73,51.97
2023-01-01,2023,1,January,Q1,Chat Online,Financeiro,Média,17,1.5,4.55,0.72,1,37.44,65.52
2023-01-01,2023,1,January,Q1,Chat Online,Financeiro,Alta,9,1.64,3.83,0.7,0,40.97,53.62
2023-01-01,2023,1,January,Q1,Chat Online,Financeiro,Crítica,3,0.5,4.91,0.75,0,12.5,73.65
2023-01-01,2023,1,January,Q1,Chat Online,Informações,Baixa,22,1.19,4.15,0.69,2,29.87,57.27
2023-01-01,2023,1,January,Q1,Chat Online,Informações,Média,24,2.15,4.18,0.72,2,53.85,60.19
2023-01-01,2023,1,January,Q1,Chat Online,Informações,Alta,11,0.86,4.41,0.64,1,21.6,56.45
2023-01-01,2023,1,January,Q1,Chat Online,Informações,Crítica,3,0.79,4.86,0.69,0,19.67,67.07
2023-01-01,2023,1,January,Q1,Chat Online,Reclamação,Baixa,18,2.98,4.26,0.63,2,74.4,53.68
2023-01-01,2023,1,January,Q1,Chat Online,Reclamação,Média,13,1.61,4.51,0.74,0,40.13,66.75
2023-01-01,2023,1,January,Q1,Chat Online,Reclamação,Alta,7,1.02,3.93,0.68,0,25.53,53.45
2023-01-01,2023,1,January,Q1,Chat Online,Reclamação,Crítica,2,0.92,4.11,0.79,0,23.02,64.94
2023-01-01,2023,1,January,Q1,Chat Online,Sugestão,Baixa,4,2.45,3.6,0.74,0,61.16,53.28
2023-01-01,2023,1,January,Q1,Chat Online,Sugestão,Média,3,1.44,4.04,0.67,0,36.01,54.14
2023-01-01,2023,1,January,Q1,Chat Online,Sugestão,Alta,2,0.5,4.47,0.64,0,12.5,57.22
2023-01-01,2023,1,January,Q1,Chat Online,Sugestão,Crítica,1,0.73,4.31,0.69,0,18.37,59.48
2023-01-01,2023,1,January,Q1,WhatsApp,Técnico,Baixa,39,7.4,3.67,0.44,6,185.06,32.3
2023-01-01,2023,1,January,Q1,WhatsApp,Técnico,Média,29,4.31,3.82,0.31,5,107.87,23.68
2023-01-01,2023,1,January,Q1,WhatsApp,Técnico,Alta,17,2.11,4.5,0.47,2,52.69,42.3
2023-01-01,2023,1,January,Q1,WhatsApp,Técnico,Crítica,3,1.92,4.36,0.34,0,47.91,29.65
2023-01-01,2023,1,January,Q1,WhatsApp,Financeiro,Baixa,16,4.98,3.66,0.42,2,124.51,30.74
2023-01-01,2023,1,January,Q1,WhatsApp,Financeiro,Média,16,3.54,3.8,0.35,3,88.53,26.6
2023-01-01,2023,1,January,Q1,WhatsApp,Financeiro,Alta,8,4.19,3.78,0.34,1,104.65,25.7
2023-01-01,2023,1,January,Q1,WhatsApp,Financeiro,Crítica,2,2.18,3.98,0.49,0,54.4,39.0
2023-01-01,2023,1,January,Q1,WhatsApp,Informações,Baixa,26,3.95,4.03,0.4,4,98.83,32.24
2023-01-01,2023,1,January,Q1,WhatsApp,Informações,Média,22,4.12,4.03,0.37,4,103.05,29.82
2023-01-01,2023,1,January,Q1,WhatsApp,Informações,Alta,12,2.47,3.95,0.44,2,61.68,34.76
2023-01-01,2023,1,January,Q1,WhatsApp,Informações,Crítica,2,0.97,4.03,0.44,0,24.18,35.46
2023-01-01,2023,1,January,Q1,WhatsApp,Reclamação,Baixa,15,7.69,3.82,0.36,2,192.17,27.5
2023-01-01,2023,1,January,Q1,WhatsApp,Reclamação,Média,11,5.12,4.33,0.5,1,127.96,43.3
2023-01-01,2023,1,January,Q1,WhatsApp,Reclamação,Alta,6,3.71,4.48,0.48,0,92.76,43.01
2023-01-01,2023,1,January,Q1,WhatsApp,Reclamação,Crítica,1,2.25,4.47,0.35,0,56.33,31.29
2023-01-01,2023,1,January,Q1,WhatsApp,Sugestão,Baixa,4,7.55,3.46,0.48,0,188.73,33.22
2023-01-01,2023,1,January,Q1,WhatsApp,Sugestão,Média,3,4.39,4.68,0.31,0,109.73,29.02
2023-01-01,2023,1,January,Q1,WhatsApp,Sugestão,Alta,1,1.15,4.28,0.34,0,28.72,29.1
2023-01-01,2023,1,January,Q1,WhatsApp,Sugestão,Crítica,1,1.31,4.05,0.39,0,32.69,31.59
2023-01-01,2023,1,January,Q1,Presencial,Técnico,Baixa,13,1.68,4.71,0.62,1,42.05,58.4
2023-01-01,2023,1,January,Q1,Presencial,Técnico,Média,11,1.18,4.7,0.62,1,29.44,58.28
2023-01-01,2023,1,January,Q1,Presencial,Técnico,Alta,6,0.76,4.86,0.73,0,18.95,70.96
2023-01-01,2023,1,January,Q1,Presencial,Técnico,Crítica,1,0.5,4.51,0.73,0,12.5,65.85
2023-01-01,2023,1,January,Q1,Presencial,Financeiro,Baixa,5,0.72,4.64,0.71,0,17.9,65.89
2023-01-01,2023,1,January,Q1,Presencial,Financeiro,Média,4,1.3,4.69,0.63,0,32.46,59.09
2023-01-01,2023,1,January,Q1,Presencial,Financeiro,Alta,2,0.5,5.0,0.62,0,12.5,62.0
2023-01-01,2023,1,January,Q1,Presencial,Financeiro,Crítica,1,0.52,4.55,0.73,0,13.09,66.43
2023-01-01,2023,1,January,Q1,Presencial,Informações,Baixa,6,1.23,4.38,0.65,0,30.67,56.94
2023-01-01,2023,1,January,Q1,Presencial,Informações,Média,7,1.04,4.68,0.77,0,26.09,72.07
2023-01-01,2023,1,January,Q1,Presencial,Informações,Alta,4,0.77,4.34,0.66,0,19.2,57.29
2023-01-01,2023,1,January,Q1,Presencial,Informações,Crítica,1,0.5,4.21,0.79,0,12.5,66.52
2023-01-01,2023,1,January,Q1,Presencial,Reclamação,Baixa,3,1.99,4.78,0.77,0,49.65,73.61
2023-01-01,2023,1,January,Q1,Presencial,Reclamação,Média,4,1.15,4.82,0.73,0,28.65,70.37
2023-01-01,2023,1,January,Q1,Presencial,Reclamação,Alta,2,0.67,4.75,0.61,0,16.84,57.95
2023-01-01,2023,1,January,Q1,Presencial,Reclamação,Crítica,1,0.58,4.76,0.69,0,14.53,65.69
2023-01-01,2023,1,January,Q1,Presencial,Sugestão,Baixa,1,1.02,4.05,0.79,0,25.59,63.99
2023-01-01,2023,1,January,Q1,Presencial,Sugestão,Média,1,1.08,3.92,0.61,0,26.97,47.82
2023-01-01,2023,1,January,Q1,Presencial,Sugestão,Alta,1,0.63,3.83,0.67,0,15.66,51.32
2023-01-01,2023,1,January,Q1,Presencial,Sugestão,Crítica,1,0.69,4.78,0.65,0,17.21,62.14
2023-02-01,2023,2,February,Q1,Telefone,Técnico,Baixa,29,3.39,3.83,0.72,2,84.69,55.15
2023-02-01,2023,2,February,Q1,Telefone,Técnico,Média,34,2.41,4.09,0.69,3,60.14,56.44
2023-02-01,2023,2,February,Q1,Telefone,Técnico,Alta,14,2.27,3.96,0.65,1,56.82,51.48
2023-02-01,2023,2,February,Q1,Telefone,Técnico,Crítica,4,1.37,3.33,0.64,0,34.16,42.62
2023-02-01,2023,2,February,Q1,Telefone,Financeiro,Baixa,16,3.51,4.15,0.67,1,87.77,55.61
2023-02-01,2023,2,February,Q1,Telefone,Financeiro,Média,17,2.65,3.7,0.72,1,66.26,53.28
2023-02-01,2023,2,February,Q1,Telefone,Financeiro,Alta,8,1.49,3.65,0.61,0,37.3,44.53
2023-02-01,2023,2,February,Q1,Telefone,Financeiro,Crítica,2,1.29,3.62,0.76,0,32.15,55.02
2023-02-01,2023,2,February,Q1,Telefone,Informações,Baixa,23,4.98,3.29,0.65,2,124.54,42.77
2023-02-01,2023,2,February,Q1,Telefone,Informações,Média,17,3.06,4.22,0.72,1,76.51,60.77
2023-02-01,2023,2,February,Q1,Telefone,Informações,Alta,13,1.19,4.29,0.67,1,29.87,57.49
2023-02-01,2023,2,February,Q1,Telefone,Informações,Crítica,2,1.39,3.56,0.77,0,34.84,54.82
2023-02-01,2023,2,February,Q1,Telefone,Reclamação,Baixa,17,2.46,4.24,0.62,1,61.51,52.58
2023-02-01,2023,2,February,Q1,Telefone,Reclamação,Média,14,3.9,3.67,0.76,1,97.51,55.78
2023-02-01,2023,2,February,Q1,Telefone,Reclamação,Alta,8,2.08,3.93,0.66,0,52.12,51.88
2023-02-01,2023,2,February,Q1,Telefone,Reclamação,Crítica,1,1.32,3.78,0.61,0,33.12,46.12
2023-02-01,2023,2,February,Q1,Telefone,Sugestão,Baixa,4,4.34,3.55,0.64,0,108.39,45.44
2023-02-01,2023,2,February,Q1,Telefone,Sugestão,Média,3,3.15,3.8,0.64,0,78.7,48.64
2023-02-01,2023,2,February,Q1,Telefone,Sugestão,Alta,2,1.75,4.29,0.78,0,43.8,66.92
2023-02-01,2023,2,February,Q1,Telefone,Sugestão,Crítica,1,0.79,4.3,0.63,0,19.66,54.18
2023-02-01,2023,2,February,Q1,E-mail,Técnico,Baixa,46,27.3,4.12,0.39,8,682.6,32.14
2023-02-01,2023,2,February,Q1,E-mail,Técnico,Média,37,17.1,3.39,0.41,6,427.42,27.8
2023-02-01,2023,2,February,Q1,E-mail,Técnico,Alta,20,15.72,3.61,0.48,3,393.03,34.66
2023-02-01,2023,2,February,Q1,E-mail,Técnico,Crítica,4,14.49,3.58,0.33,0,362.14,23.63
2023-02-01,2023,2,February,Q1,E-mail,Financeiro,Baixa,30,43.1,3.48,0.44,5,1077.6,30.62
2023-02-01,2023,2,February,Q1,E-mail,Financeiro,Média,20,19.76,3.22,0.32,4,493.96,20.61
2023-02-01,2023,2,February,Q1,E-mail,Financeiro,Alta,10,15.9,3.23,0.46,1,397.58,29.72
2023-02-01,2023,2,February,Q1,E-mail,Financeiro,Crítica,2,13.25,3.23,0.34,0,331.35,21.96
2023-02-01,2023,2,February,Q1,E-mail,Informações,Baixa,26,30.73,3.82,0.43,4,768.32,32.85
2023-02-01,2023,2,February,Q1,E-mail,Informações,Média,28,32.5,3.84,0.43,4,812.42,33.02
2023-02-01,2023,2,February,Q1,E-mail,Informações,Alta,14,16.53,3.33,0.48,2,413.31,31.97
2023-02-01,2023,2,February,Q1,E-mail,Informações,Crítica,4,13.8,3.24,0.43,0,345.07,27.86
2023-02-01,2023,2,February,Q1,E-mail,Reclamação,Baixa,22,44.02,3.31,0.32,4,1100.46,21.18
2023-02-01,2023,2,February,Q1,E-mail,Reclamação,Média,18,22.42,3.73,0.43,3,560.6,32.08
2023-02-01,2023,2,February,Q1,E-mail,Reclamação,Alta,9,7.62,3.62,0.45,1,190.54,32.58
2023-02-01,2023,2,February,Q1,E-mail,Reclamação,Crítica,2,13.33,3.68,0.35,0,333.32,25.76
2023-02-01,2023,2,February,Q1,E-mail,Sugestão,Baixa,5,40.43,3.43,0.43,0,1010.85,29.5
2023-02-01,2023,2,February,Q1,E-mail,Sugestão,Média,6,30.28,3.21,0.31,1,757.11,19.9
2023-02-01,2023,2,February,Q1,E-mail,Sugestão,Alta,3,11.73,3.91,0.46,0,293.29,35.97
2023-02-01,2023,2,February,Q1,E-mail,Sugestão,Crítica,1,8.15,4.32,0.42,0,203.68,36.29
2023-02-01,2023,2,February,Q1,Chat Online,Técnico,Baixa,21,2.09,4.33,0.76,1,52.13,65.82
2023-02-01,2023,2,February,Q1,Chat Online,Técnico,Média,27,1.19,4.25,0.73,2,29.78,62.05
2023-02-01,2023,2,February,Q1,Chat Online,Técnico,Alta,15,1.05,4.46,0.76,1,26.3,67.79
2023-02-01,2023,2,February,Q1,Chat Online,Técnico,Crítica,2,0.64,3.95,0.62,0,15.9,48.98
2023-02-01,2023,2,February,Q1,Chat Online,Financeiro,Baixa,13,1.95,4.55,0.62,1,48.68,56.42
2023-02-01,2023,2,February,Q1,Chat Online,Financeiro,Média,12,1.51,4.23,0.68,1,37.82,57.53
2023-02-01,2023,2,February,Q1,Chat Online,Financeiro,Alta,6,0.94,4.15,0.61,0,23.58,50.63
2023-02-01,2023,2,February,Q1,Chat Online,Financeiro,Crítica,1,0.91,4.24,0.7,0,22.83,59.36
2023-02-01,2023,2,February,Q1,Chat Online,Informações,Baixa,21,3.45,3.56,0.75,1,86.22,53.4
2023-02-01,2023,2,February,Q1,Chat Online,Informações,Média,14,2.11,3.79,0.61,1,52.85,46.24
2023-02-01,2023,2,February,Q1,Chat Online,Informações,Alta,8,1.09,4.2,0.69,0,27.37,57.96
2023-02-01,2023,2,February,Q1,Chat Online,Informações,Crítica,2,1.06,4.11,0.72,0,26.48,59.18
2023-02-01,2023,2,February,Q1,Chat Online,Reclamação,Baixa,12,3.42,3.26,0.73,0,85.44,47.6
2023-02-01,2023,2,February,Q1,Chat Online,Reclamação,Média,9,1.17,4.3,0.75,0,29.25,64.5
2023-02-01,2023,2,February,Q1,Chat Online,Reclamação,Alta,5,0.66,4.51,0.79,0,16.38,71.26
2023-02-01,2023,2,February,Q1,Chat Online,Reclamação,Crítica,1,0.69,4.51,0.75,0,17.26,67.65
2023-02-01,2023,2,February,Q1,Chat Online,Sugestão,Baixa,3,1.46,5.0,0.7,0,36.49,70.0
2023-02-01,2023,2,February,Q1,Chat Online,Sugestão,Média,2,2.24,4.02,0.69,0,56.12,55.48
2023-02-01,2023,2,February,Q1,Chat Online,Sugestão,Alta,1,1.26,4.03,0.72,0,31.54,58.03
2023-02-01,2023,2,February,Q1,Chat Online,Sugestão,Crítica,1,0.89,3.81,0.77,0,22.35,58.67
2023-02-01,2023,2,February,Q1,WhatsApp,Técnico,Baixa,22,6.7,4.25,0.39,4,167.39,33.15
2023-02-01,2023,2,February,Q1,WhatsApp,Técnico,Média,21,4.63,3.63,0.37,3,115.7,26.86
2023-02-01,2023,2,February,Q1,WhatsApp,Técnico,Alta,15,1.11,3.45,0.41,2,27.64,28.29
2023-02-01,2023,2,February,Q1,WhatsApp,Técnico,Crítica,3,1.86,4.42,0.44,0,46.62,38.9
2023-02-01,2023,2,February,Q1,WhatsApp,Financeiro,Baixa,14,3.49,4.29,0.39,2,87.33,33.46
2023-02-01,2023,2,February,Q1,WhatsApp,Financeiro,Média,11,3.7,4.19,0.49,1,92.54,41.06
2023-02-01,2023,2,February,Q1,WhatsApp,Financeiro,Alta,7,3.39,4.65,0.33,1,84.77,30.69
2023-02-01,2023,2,February,Q1,WhatsApp,Financeiro,Crítica,1,2.15,3.76,0.39,0,53.69,29.33
2023-02-01,2023,2,February,Q1,WhatsApp,Informações,Baixa,20,4.98,3.86,0.38,3,124.55,29.34
2023-02-01,2023,2,February,Q1,WhatsApp,Informações,Média,18,3.23,4.5,0.4,3,80.75,36.0
2023-02-01,2023,2,February,Q1,WhatsApp,Informações,Alta,7,3.35,3.51,0.32,1,83.7,22.46
2023-02-01,2023,2,February,Q1,WhatsApp,Informações,Crítica,2,2.29,3.68,0.35,0,57.2,25.76
2023-02-01,2023,2,February,Q1,WhatsApp,Reclamação,Baixa,11,7.25,4.33,0.42,1,181.17,36.37
2023-02-01,2023,2,February,Q1,WhatsApp,Reclamação,Média,10,3.72,3.83,0.35,1,93.06,26.81
2023-02-01,2023,2,February,Q1,WhatsApp,Reclamação,Alta,6,4.04,3.79,0.44,1,100.89,33.35
2023-02-01,2023,2,February,Q1,WhatsApp,Reclamação,Crítica,1,1.52,4.01,0.38,0,38.06,30.48
2023-02-01,2023,2,February,Q1,WhatsApp,Sugestão,Baixa,3,5.85,4.07,0.37,0,146.28,30.12
2023-02-01,2023,2,February,Q1,WhatsApp,Sugestão,Média,2,5.14,4.16,0.33,0,128.54,27.46
2023-02-01,2023,2,February,Q1,WhatsApp,Sugestão,Alta,1,3.23,4.38,0.31,0,80.71,27.16
2023-02-01,2023,2,February,Q1,WhatsApp,Sugestão,Crítica,1,1.4,3.87,0.45,0,35.11,34.83
2023-02-01,2023,2,February,Q1,Presencial,Técnico,Baixa,9,1.44,4.68,0.75,0,36.12,70.2
2023-02-01,2023,2,February,Q1,Presencial,Técnico,Média,9,1.15,4.66,0.64,0,28.68,59.65
2023-02-01,2023,2,February,Q1,Presencial,Técnico,Alta,5,0.6,4.73,0.79,0,15.07,74.73
2023-02-01,2023,2,February,Q1,Presencial,Técnico,Crítica,1,0.52,4.15,0.72,0,12.97,59.76
2023-02-01,2023,2,February,Q1,Presencial,Financeiro,Baixa,6,1.52,4.42,0.79,0,37.92,69.84
2023-02-01,2023,2,February,Q1,Presencial,Financeiro,Média,5,0.5,5.0,0.7,0,12.5,70.0
2023-02-01,2023,2,February,Q1,Presencial,Financeiro,Alta,2,0.71,5.0,0.75,0,17.68,75.0
2023-02-01,2023,2,February,Q1,Presencial,Financeiro,Crítica,1,0.56,4.21,0.63,0,14.03,53.05
2023-02-01,2023,2,February,Q1,Presencial,Informações,Baixa,8,1.01,4.91,0.79,0,25.3,77.58
2023-02-01,2023,2,February,Q1,Presencial,Informações,Média,6,1.06,4.3,0.65,0,26.45,55.9
2023-02-01,2023,2,February,Q1,Presencial,Informações,Alta,4,0.5,4.84,0.75,0,12.5,72.6
2023-02-01,2023,2,February,Q1,Presencial,Informações,Crítica,1,0.8,4.61,0.62,0,20.0,57.16
2023-02-01,2023,2,February,Q1,Presencial,Reclamação,Baixa,4,1.76,4.39,0.63,0,44.08,55.31
2023-02-01,2023,2,February,Q1,Presencial,Reclamação,Média,4,1.08,4.26,0.67,0,26.88,57.08
2023-02-01,2023,2,February,Q1,Presencial,Reclamação,Alta,2,0.84,4.12,0.65,0,20.97,53.56
2023-02-01,2023,2,February,Q1,Presencial,Reclamação,Crítica,1,0.54,4.81,0.63,0,13.48,60.61
2023-02-01,2023,2,February,Q1,Presencial,Sugestão,Baixa,1,1.72,4.25,0.75,0,43.09,63.75
2023-02-01,2023,2,February,Q1,Presencial,Sugestão,Média,1,1.41,4.51,0.79,0,35.21,71.26
2023-02-01,2023,2,February,Q1,Presencial,Sugestão,Alta,1,0.71,4.69,0.68,0,17.76,63.78
2023-02-01,2023,2,February,Q1,Presencial,Sugestão,Crítica,1,0.5,4.25,0.7,0,12.5,59.5
2023-03-01,2023,3,March,Q1,Telefone,Técnico,Baixa,44,1.85,3.81,0.7,3,46.2,53.34
2023-03-01,2023,3,March,Q1,Telefone,Técnico,Média,35,3.05,3.6,0.7,3,76.21,50.4
2023-03-01,2023,3,March,Q1,Telefone,Técnico,Alta,18,1.61,3.68,0.79,1,40.26,58.14
2023-03-01,2023,3,March,Q1,Telefone,Técnico,Crítica,4,1.19,3.42,0.66,0,29.84,45.14
2023-03-01,2023,3,March,Q1,Telefone,Financeiro,Baixa,18,4.3,3.22,0.71,1,107.42,45.72
2023-03-01,2023,3,March,Q1,Telefone,Financeiro,Média,18,2.88,3.78,0.68,1,72.01,51.41
2023-03-01,2023,3,March,Q1,Telefone,Financeiro,Alta,10,1.61,3.32,0.75,0,40.3,49.8
2023-03-01,2023,3,March,Q1,Telefone,Financeiro,Crítica,2,1.79,3.67,0.67,0,44.63,49.18
2023-03-01,2023,3,March,Q1,Telefone,Informações,Baixa,28,4.49,3.56,0.61,3,112.3,43.43
2023-03-01,2023,3,March,Q1,Telefone,Informações,Média,27,2.73,3.73,0.67,2,68.26,49.98
2023-03-01,2023,3,March,Q1,Telefone,Informações,Alta,15,2.08,3.72,0.63,1,51.99,46.87
2023-03-01,2023,3,March,Q1,Telefone,Informações,Crítica,3,0.93,4.1,0.64,0,23.32,52.48
2023-03-01,2023,3,March,Q1,Telefone,Reclamação,Baixa,19,3.68,3.87,0.78,1,91.99,60.37
2023-03-01,2023,3,March,Q1,Telefone,Reclamação,Média,14,3.19,3.48,0.73,1,79.82,50.81
2023-03-01,2023,3,March,Q1,Telefone,Reclamação,Alta,10,2.21,3.44,0.61,1,55.15,41.97
2023-03-01,2023,3,March,Q1,Telefone,Reclamação,Crítica,1,1.47,3.99,0.7,0,36.76,55.86
2023-03-01,2023,3,March,Q1,Telefone,Sugestão,Baixa,5,3.22,3.57,0.68,0,80.57,48.55
2023-03-01,2023,3,March,Q1,Telefone,Sugestão,Média,5,1.9,4.12,0.6,0,47.38,49.44
2023-03-01,2023,3,March,Q1,Telefone,Sugestão,Alta,2,2.11,3.76,0.73,0,52.75,54.9
2023-03-01,2023,3,March,Q1,Telefone,Sugestão,Crítica,1,0.5,3.94,0.62,0,12.5,48.86
2023-03-01,2023,3,March,Q1,E-mail,Técnico,Baixa,52,36.51,3.12,0.4,9,912.75,24.96
2023-03-01,2023,3,March,Q1,E-mail,Técnico,Média,43,24.79,3.69,0.41,7,619.85,30.26
2023-03-01,2023,3,March,Q1,E-mail,Técnico,Alta,19,13.39,3.92,0.47,3,334.67,36.85
2023-03-01,2023,3,March,Q1,E-mail,Técnico,Crítica,5,8.23,3.55,0.37,0,205.81,26.27
2023-03-01,2023,3,March,Q1,E-mail,Financeiro,Baixa,24,8.21,3.71,0.5,3,205.15,37.1
2023-03-01,2023,3,March,Q1,E-mail,Financeiro,Média,19,20.15,3.55,0.47,3,503.84,33.37
2023-03-01,2023,3,March,Q1,E-mail,Financeiro,Alta,13,29.88,3.34,0.33,2,746.88,22.04
2023-03-01,2023,3,March,Q1,E-mail,Financeiro,Crítica,2,15.13,2.99,0.34,0,378.18,20.33
2023-03-01,2023,3,March,Q1,E-mail,Informações,Baixa,28,42.31,3.68,0.36,5,1057.72,26.5
2023-03-01,2023,3,March,Q1,E-mail,Informações,Média,25,27.2,3.26,0.43,4,680.12,28.04
2023-03-01,2023,3,March,Q1,E-mail,Informações,Alta,18,17.66,3.62,0.33,3,441.61,23.89
2023-03-01,2023,3,March,Q1,E-mail,Informações,Crítica,3,10.47,3.65,0.31,0,261.78,22.63
2023-03-01,2023,3,March,Q1,E-mail,Reclamação,Baixa,22,44.1,3.45,0.43,3,1102.39,29.67
2023-03-01,2023,3,March,Q1,E-mail,Reclamação,Média,14,16.71,3.29,0.31,2,417.65,20.4
2023-03-01,2023,3,March,Q1,E-mail,Reclamação,Alta,10,15.52,3.21,0.37,1,387.98,23.75
2023-03-01,2023,3,March,Q1,E-mail,Reclamação,Crítica,2,10.44,3.61,0.37,0,261.12,26.71
2023-03-01,2023,3,March,Q1,E-mail,Sugestão,Baixa,6,40.11,3.37,0.44,1,1002.86,29.66
2023-03-01,2023,3,March,Q1,E-mail,Sugestão,Média,5,18.15,3.72,0.43,0,453.85,31.99
2023-03-01,2023,3,March,Q1,E-mail,Sugestão,Alta,2,23.51,2.94,0.48,0,587.84,28.22
2023-03-01,2023,3,March,Q1,E-mail,Sugestão,Crítica,1,10.48,3.16,0.47,0,262.07,29.7
